Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
10141214;8720682571361;COMPONENTS;ERE GENUS CCX CLINCHER PRO 320TPI 700X30C SKINWALL;8
10146;4250589432617;SPAREPARTS;CUBE MECH HANGER #123 BLACK;7
10147;4250589426029;SPAREPARTS;CUBE MECH HANGER #147 BLACK;167
10148;4250589426036;SPAREPARTS;CUBE MECH HANGER 10148 BLACK;40
10149;4250589426043;SPAREPARTS;CUBE MECH HANGER #149 LONG BLACK;64
10150;4250589447918;SPAREPARTS;CUBE MECH HANGER #150 LITENING C68 2015 BLACK;4
10151;4250589449516;SPAREPARTS;CUBE MECH HANGER 10151 BLACK;78
10190;;SPAREPARTS;CUBE DI2 REBUILD KIT TO NORMAL CABLE ROUTING;3
10211102;8719325647600;WHEELS;ERE GENUS SL30 SPOKE KIT (8 SPOKES);20
10211103;8719325647617;WHEELS;ERE GENUS CL45 SPOKE KIT (8 SPOKES);18
10211104;8719325647624;WHEELS;ERE GENUS AE65 SPOKE KIT (8 SPOKES);17
10211584;8720682570135;WHEELS;ERE GENUS II SL30 SPARE SPOKE KIT;5
10211585;8720682570142;WHEELS;ERE GENUS II SL30-R SPARE SPOKE KIT;5
10211586;8720682570159;WHEELS;ERE GENUS II CLR45 SPARE SPOKE KIT;5
10211587;8720682570166;WHEELS;ERE GENUS II CLR45-R SPARE SPOKE KIT;5
10211588;8720682570173;WHEELS;ERE GENUS II AE65 SPARE SPOKE KIT;5
10211589;8720682570180;WHEELS;ERE GENUS II AE65-R SPARE SPOKE KIT;5
10221032;8719325647662;WHEELS;ERE GENUS R1 HUB FRONT X12 24H;8
10221033;8719325647679;WHEELS;ERE GENUS R1 HUB REAR X12 24H 11-SPEED SHIMANO;0
10231500;8719325647723;WHEELS;ERE GENUS AE65 RIM FRONT BLACK/BLACK;5
10231501;8719325647730;WHEELS;ERE GENUS AE65 RIM FRONT BLACK/WHITE;3
10231502;8719325647747;WHEELS;ERE GENUS CL45 RIM FRONT BLACK/BLACK;0
10231503;8719325647754;WHEELS;ERE GENUS CL45 RIM FRONT BLACK/WHITE;0
10231504;8719325647761;WHEELS;ERE GENUS SL30 RIM FRONT BLACK/BLACK;0
10231505;8719325647778;WHEELS;ERE GENUS SL30 RIM FRONT BLACK/WHITE;0
10231506;8719325647808;WHEELS;ERE GENUS AE65 RIM REAR BLACK/BLACK;5
10231507;8719325647815;WHEELS;ERE GENUS AE65 RIM REAR BLACK/WHITE;3
10231508;8719325647822;WHEELS;ERE GENUS CL45 RIM REAR BLACK/BLACK;0
10231509;8719325647839;WHEELS;ERE GENUS CL45 RIM REAR BLACK/WHITE;0
10231510;8719992975266;WHEELS;ERE GENUS SL30 RIM REAR BLACK/BLACK;0
10231511;8719992975273;WHEELS;ERE GENUS SL30 RIM REAR BLACK/WHITE;0
10235;;SPAREPARTS;CUBE REBUILD KIT TO DI2 CABLE ROUTING;20
10236;;COMPONENTS;CUBE AGREE CABLE TO DI2 KIT >2016;5
10237;;COMPONENTS;CUBE AGREE CABLE TO DI2 DISC KIT >2016;3
